Sample	avg_quality	dinucleotide_repeats	mononucleotide_repeats
1np_f12d3	32.9104762254	0.0	0.0
1np_f13g2	37.7115416832	0.0	0.0
1np_f13a3	25.9174981984	0.0	0.0
1np_f11c1	32.8629623673	0.0	0.0
1np_f18a1	36.4922345966	0.0	0.0
1np_f12f4	33.0141371919	0.0	0.0
1np_f5f1	35.0892324771	0.0	0.0
1np_f15d5	36.8447950186	0.0020673529	0.0
1np_f12f1	33.0627386678	0.0	0.0
1np_f16b3	34.8596922001	0.0	0.0
1np_f14b1	37.6759982637	0.0	0.0
1np_f8e5	32.0552165609	0.0	0.0
1np_f7a5	37.6094573925	0.0	0.0
1np_f12d4	32.9969185216	0.0	0.0
1np_f7c2	36.8536390754	0.0	0.0
1np_f13e6	37.4121381227	0.0	0.0
1np_f16c3	36.507114164	0.0	0.0
1np_f12d2	32.8384014243	0.0	0.0
1np_f15a4	36.9018623445	0.0	0.0
1np_f11a2	33.0636566813	0.0	0.0
1np_f5d4	36.7677777457	0.0	0.0
1np_f16a3	36.1092670654	0.0	0.0
1np_f7f4	37.55738549	0.0	0.0
1np_f6d3	36.7436653689	0.0	0.0
1np_f15e2	36.7175326528	0.0	0.0
1np_f16e5	36.9183848456	0.0	0.0
1np_f18f2	36.8118287117	0.0	0.0
1np_f8e6	33.3407256091	0.0	0.0
1np_f12g4	31.6638126792	0.0	0.0
1np_f8a5	32.6760553974	0.0	0.0
1np_f12f3	32.7241748757	0.0	0.0
1np_f16f1	35.9359570288	0.0	0.0
1np_f9c2	31.1179319209	0.0	0.0
1np_f10e5	36.8970940323	0.0	0.0
1np_f7g1	37.4223426721	0.0	0.0
1np_f5b1	36.7081946486	0.0	0.0
1np_f15d6	36.4826304034	0.0	0.0
1np_f10e6	36.5421350279	0.0	0.0
1np_f16g5	37.4707728197	0.0	0.0
1np_f14e5	31.7788858903	0.0	0.0
1np_f8c4	33.1949368197	0.0	0.0
1np_f5f4	36.4856277414	0.0	0.0
1np_f9e6	31.8352702174	0.0	0.0
1np_f8f3	32.8728948358	0.0	0.0
1np_f9b5	31.6722515756	0.0	0.0
1np_f15f1	36.7021746051	0.0	0.0
1np_f16e6	37.1961131688	0.0	0.0
1np_f7e1	37.5668515716	0.0	0.0
1np_f11c3	32.7873716719	0.0	0.0
1np_f12b1	33.0827568879	0.0	0.0
1np_f14e6	34.9008728691	0.0	0.0
1np_f12d5	32.5590385853	0.0	0.0
1np_f6g1	36.7216060109	0.0	0.0
1np_f8d1	29.9507090222	0.0	0.0
1np_f18a3	30.4956623718	0.0	0.0
1np_f13a1	37.6157586411	0.0	0.0
1np_f11a4	33.2276921797	0.0	0.0
1np_f16d5	37.395492275	0.0	0.0
1np_f16c6	37.0890599759	0.0	0.0
1np_f16f3	36.3092966933	0.0	0.0
