Sample	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours
1np_f7g1	0.0495437340454	12	0.809890435298
1np_f9a4	0.0445702884305	10	0.745556287031
1np_f9f3	0.0782107332531	11	0.854811480023
1np_f13f2	0.0765529180482	11	0.787466462246
1np_f12b6	0.0647134767172	8	0.823396055316
1np_f13f5	0.000806901205951	1	0.0363636363636
1np_f17d4	0.104075584637	11	0.859176769101
1np_f12c6	0.0404624277457	6	0.86439448876
1np_f18b3	0.111205657111	13	0.874142480211
1np_f14c4	0.0703911270209	10	0.621717382243
1np_f11c4	0.0116780610898	2	0.896984924623
1np_f8e1	0.0609137055838	8	0.884874759152
1np_f8a5	0.0205099615622	3	0.396995708155
1np_f14f2	0.0213902174232	5	0.68792866941
1np_f18e4	0.0113846424694	2	0.51675257732
1np_f15d7	0.0474604618409	9	0.899227202473
1np_f11b6	0.00325694668584	1	0.189189189189
1np_f18f3	0.022050409319	4	0.868263473054
1np_f9g4	0.0260555734867	6	0.755067567568
1np_f10f3	0.0532114667997	8	0.761510890543
1np_f14d3	0.0218156744227	5	0.495628782784
1np_f17f4	0.00419588627094	1	0.146853146853
1np_f11f1	0.178809307239	15	0.923695438136
1np_f17f6	0.0828174055926	10	0.904871567759
1np_f17c6	0.0259235351075	5	0.580079230334
1np_f9d5	0.028901734104	7	0.845685279188
1np_f10a3	0.0878348640005	8	0.949724402873
1np_f10b3	0.0761714738417	9	0.909283513097
1np_f15h7	0.0451864675332	9	0.853571428571
1np_f6e4	0.177767671136	13	0.91450028885
1np_f17e5	0.0163727590153	4	0.535842293907
1np_f10e6	0.0794137495965	11	0.817845926473
1np_f9e4	0.0325254540653	6	0.755525484889
1np_f16b1	0.0953610516123	8	0.848307692308
1np_f14b6	0.0837123323846	10	0.696810375044
1np_f7c4	0.0440714767759	8	0.855193075899
1np_f8c5	0.0904316187905	12	0.801103179753
1np_f7e3	0.00311023737566	1	0.410377358491
1np_f6d4	0.119245327308	11	0.911909448819
1np_f7e2	0.0736187318447	7	0.955360701475
1np_f9c2	0.0250432792465	6	0.776801405975
1np_f17g3	0.0660778733018	9	0.751998223801
1np_f9e1	0.00227399430768	1	0.225806451613
1np_f18g3	0.0195856929081	5	0.785018726592
1np_f13e2	0.0476951967372	6	0.549984620117
1np_f7f5	0.0366626566122	4	0.931972789116
1np_f8c3	0.0544731668672	11	0.841368165904
1np_f10f1	0.240207153546	16	0.924448787638
1np_f7e6	0.0425750418122	6	0.912129565817
1np_f9d1	0.0241190105924	7	0.86800486618
1np_f6e2	0.121049851824	9	0.942916010181
water-control_f12h3	0.00070420468883	1	0.0833333333333
1np_f17f2	0.0452304803263	9	0.796302302952
1np_f18a1	0.0542531029019	9	0.732017306652
1np_f14g2	0.0154778322232	2	0.15355450237
1np_f8d2	0.0414307091928	8	0.658640226629
1np_f12f4	0.0634077638567	9	0.869273484498
1np_f11b1	0.0956251283706	10	0.935256213562
1np_f5c2	0.0932484375458	10	0.856670862177
water-control_f11h1	0.000278747689328	1	0.0
1np_f13d6	0.0290191015522	9	0.664812942366
1np_f7f1	0.0760247645316	11	0.905055962949
1np_f14e1	0.000249405827294	1	0.117647058824
1np_f12g4	0.0235175024207	7	0.865876481597
1np_f9b1	0.0215662685954	4	0.816326530612
1np_f12d3	0.00104163610223	1	0.197183098592
1np_f16c7	0.0434406267422	6	0.802769334684
1np_f7a3	0.119861506411	11	0.812729498164
1np_f9b3	0.00371174554737	2	0.537549407115
1np_f7b5	0.0600041078607	9	0.719070904645
1np_f5g2	0.0452744931193	7	0.807517822424
1np_f8e4	0.0744696458437	10	0.8780535855
1np_f5b4	0.0317038819283	8	0.757519666821
1np_f6c2	0.0397288811948	6	0.835672082718
1np_f7f2	0.0501305712861	7	0.869183494293
1np_f16e2	0.0898154396878	11	0.854295981705
1np_f10f2	0.0613978463073	6	0.885065710872
1np_f11e2	0.000234734896277	1	0.0
1np_f10a5	0.0487955165635	8	0.872218881539
1np_f13c3	0.00431325371908	1	0.149659863946
1np_f10e5	0.221839147912	15	0.914225249653
