Sample	Ecoli_screen_result	Human_screen_result	Mouse_screen_result	Rat_screen_result	Unmapped_screen_result	Yeast_screen_result
expt11_G1A2	18.9488062835	53.4134166307	8.06524512118	4.56294004801	22.37	0.143627652843
expt07_E3	11.5148438977	4.45963833239	80.9751291315	18.6028921466	7.02	0.378188477194
expt10_F4	14.5905801447	73.9714525609	3.5764263724	4.38407100876	10.95	0.133941065931
expt08_C4-1	32.749224282	4.44048850346	49.0323414751	11.0430424059	16.04	0.157132627894
expt02_F37B2	6.88848708777	4.46228528753	84.0149758264	18.7895522975	8.56	0.487402224755
expt10_E3	13.2549830386	72.4502699773	3.3461129288	4.2433609667	13.94	0.151548605954
expt10_D6	10.6323236132	45.6933929971	38.3630825404	11.0262236201	8.77	0.164703781242
expt01_F38G4	25.0983764099	15.4448434576	40.8760305498	10.3353396389	20.8	0.191189115371
expt07_A4	49.8978099265	6.71448894945	7.99987977638	2.52068848057	36.27	0.0781453503517
expt05_F42A2	9.16306349588	66.6996957322	18.1599807831	8.11914484747	10.33	0.166146208664
expt11_G1A6	18.1864199859	54.3091383708	2.98756339887	3.83718275749	27.35	0.114142787665
expt04_F40B1	23.3304634085	4.2795644467	62.1625728032	14.3357812104	12.87	0.306913142568
expt11_G1D10	0.497991171073	2.5534447696	2.00486087	1.62690342741	95.83	0.0853132285105
expt11_G1E8	4.09473018169	14.2286098808	76.1145761146	16.8379081423	9.3	0.283226370183
expt11_G1C8	20.0888305658	54.2280321001	2.7921061929	3.46540150406	25.53	0.102962701257
expt04_F40G4	24.971625456	3.99675719497	57.9803404945	14.341305229	15.41	0.194568301581
expt09_H1-2	4.01645293975	4.26344866521	88.5081458182	20.4391483184	6.74	0.246995725462
expt11_G1F6	7.59532595326	24.8660873706	58.7757409832	13.7691941436	12.13	0.184501845018
expt09_E3-2	0.0239279767899	41.1521320824	37.6068035214	10.0676962343	24.67	0.207375798845
expt11_G1H1	2.46799630804	10.3334804767	83.190537341	19.0788153618	8.31	0.322043420683
expt11_G1E12	6.43924528302	16.933836478	67.0319496855	15.9667924528	13.26	0.285786163522
expt03_F41C2	2.9333732296	5.82884500299	89.8803111909	19.4504288849	4.9	0.348094953122
expt08_H3-1	64.2164482195	3.69538402912	2.24631213711	0.947662932841	30.29	0.0762141617946
expt09_C3-2	0.0653640082002	43.3422796193	32.0838243887	9.38666772305	27.76	0.212928208531
expt04_F40G5	30.2740483733	4.08306934178	48.0957409363	10.8744405893	19.24	0.203147784985
expt10_C4	15.2392672131	63.8737272493	3.4644622194	4.12043744914	20.21	0.132981362761
