Sample	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours
expt09_H2-2	0.112907485109	13	0.607068607069
expt01_F38E1	0.12950030809	13	0.878667724029
expt06_F43D3	0.0167101904287	2	0.168568920105
expt11_G1C11	0.000542824447639	17	0.0
expt07_A1	4.40127930518e-05	3	0.0
expt11_G1E7	0.0934685015111	11	0.792183330717
expt02_F37C2	0.000762888412899	10	0.0
expt08_E3-1	0.0906370118248	11	0.47701521528
expt10_C5	0.135500718876	11	0.910783889129
expt11_G1H11	0.0126170006749	1	0.170930232558
expt03_F41A4	0.0119861506411	1	0.165238678091
expt01_F38E5	0.104002229982	9	0.717590633376
expt11_G1C8	0.000630850033743	14	0.0
expt11_G1C10	0.000440127930518	13	0.0
expt04_F40C2	0.0881136116898	13	0.713786213786
expt09_B1-2	0.190839470673	15	0.819265067651
expt09_C1-2	0.0353716146827	5	0.397345499793
expt11_G1H5	0.162524573809	15	0.622314497202
expt11_G1H12	0.000513482585605	14	0.0
expt06_F43A2	0.0363545670608	8	0.440274414851
expt01_F38B2	0.423755171503	20	0.914727877025
expt08_B6-1	0.086587834864	11	0.517112843104
expt11_G1D5	0.123177136821	13	0.861362553597
expt07_A4	0.0181479416684	4	0.455133387227
expt11_G1D2	0.12128458672	14	0.551590661667
expt07_C1	0.0105337284704	13	0.16991643454
expt02_F37B3	0.218948974502	15	0.829134280354
expt09_E3-2	0.072122296881	10	0.512408462164
expt01_F38F5	0.0394794753675	8	0.744332961724
expt04_F40B5	0.122986414718	14	0.758558988429
expt09_B2-2	0.275226665884	14	0.912526652452
expt04_F40C3	0.0158592764297	1	0.287696577243
expt10_A3	0.00234734896277	19	0.025
expt06_F43F2	0.215193216161	13	0.884578674666
expt08_H5-1	0.166016255392	15	0.825468363379
expt11_G1A8	0.000513482585605	12	0.0571428571429
expt07_C4	1.46709310173e-05	1	0.0
expt11_G1A11	0.293756051759	17	0.917444938321
expt07_B1	0.0126023297438	1	0.151338766007
expt01_F38B6	0.0524339074558	5	0.509792949077
expt04_F40E4	0.15618673161	14	0.812323877513
expt08_E5-1	0.263533933863	18	0.844792072594
expt11_G1C2	0.106598984772	10	0.774841728599
expt11_G1F10	0.0240309850063	5	0.252747252747
expt10_E3	0.00487074909774	17	0.0602409638554
expt11_G1E12	0.0676476629207	10	0.786163522013
expt02_F37H3	0.172031337109	13	0.752942179771
expt10_B5	0.265529180482	17	0.917951268026
expt01_F38D8	0.0121181890203	1	0.116222760291
expt05_F42B1	0.312857603944	14	0.91488862837
expt11_G1F6	0.0729585399489	11	0.776392519606
expt11_G1F4	0.0818344532144	11	0.821979204016
expt03_F41E3	0.14392183328	16	0.872782874618
expt08_A3-1	0.108462193011	16	0.570269173543
expt05_F42H1	0.105616032393	10	0.859424920128
expt02_F37F5	0.00445996302925	1	0.0263157894737
expt11_G1C9	0.270502626097	18	0.865278229743
expt04_F40E5	0.122825034477	15	0.798375537506
expt04_F40A1	0.0530794284205	8	0.385572139303
expt01_F38H7	0.0432058918459	7	0.424108658744
