Sample	avg_quality	dinucleotide_repeats	mononucleotide_repeats
expt11_G1H3	32.7670139569	0	0.0
expt11_G1E2	32.9734538411	0	0.0
expt01_F38D2	34.1378833217	0	0.0
expt11_G1H8	32.8385889821	0	0.0
expt06_F43C2	33.3451719583	0	0.0
expt05_F42H1	33.2417759653	0	0.0
expt03_F41B4	33.8687196546	0	0.0
expt04_F40F4	33.7333360469	0	0.0
expt01_F38C3	34.3802050861	0	0.0
expt05_F42E4	33.1788060335	0	0.0
expt04_F40D2	32.7921952896	0	0.0
expt01_F38H7	34.4410795771	0	0.0
expt07_H1	33.6429643279	0	0.0
expt09_D1-2	33.4838300856	0	0.0
expt02_F37B3	34.3410885163	0	0.0
expt08_C6-1	33.5876954965	0	0.0
expt09_D2-2	33.4597354656	0	0.0
expt08_G2-1	33.4386549884	0	0.0
expt07_F4	33.8954605746	0	0.0
expt04_F40G1	33.5461968093	0	0.0
expt02_F37C4	34.3150086693	0	0.0
expt04_F40D3	33.5084127074	0	0.0
expt09_D4-2	33.4273367709	0	0.0
expt11_G1B4	32.9297334249	0	0.0
expt07_D4	33.7705737353	0	0.0
expt11_G1F12	30.866089153	0	0.0
expt03_F41A4	33.8408574728	0	0.0
expt11_G1B11	32.8626848117	0	0.0
expt08_H4-1	33.4570289009	0	0.0
expt03_F41E2	33.7385496348	0	0.0
expt08_C5-1	33.544641017	0	0.0
expt02_F37G5	34.1692534191	0	0.0
expt08_G5-1	33.5302530899	0	0.0
expt02_F37B6	34.4149441991	0	0.0
expt01_F38F5	34.385581318	0	0.0
expt01_F38G8	34.4030494891	0	0.0
expt07_F2	33.6963265464	0	0.0
expt02_F37A3	34.3777906579	0	0.0
expt02_F37D4	33.6686614592	0	0.0
expt08_D5-1	33.6083039027	0	0.0
expt11_G1A6	32.8352025294	0	0.0
expt11_G1E8	32.95451848	0	0.0
expt01_F38B4	34.3647943888	0	0.0
expt09_G2-2	33.3221766426	0	0.0
expt01_F38E2	34.3537798926	0	0.0
expt03_F41F1	33.6739481907	0	0.0
expt10_G4	33.9408780948	0	0.0
expt04_F40E6	33.7065804305	0	0.0
expt04_F40F2	33.7056179326	0	0.0
expt11_G1E12	32.9599724472	0	0.0
expt11_G1G6	32.859896762	0	0.0
expt02_F37H3	34.3670879298	0	0.0
expt02_F37E6	33.6935492645	0	0.0
expt11_G1A1	32.8835067235	0	0.0
expt05_F42H3	33.3856395503	0	0.0
expt01_F38B7	34.3902344368	0	0.0
expt09_G1-2	33.4476827776	0	0.0
expt02_F37E5	34.3525460963	0	0.0
expt08_A2-1	33.4433078477	0	0.0
expt01_F38D9	34.3699419109	0	0.0
expt07_A2	33.7909169998	0	0.0
expt06_F43F3	31.3265715027	0	0.0
expt11_G1C12	30.7574764428	0	0.0
expt09_B1-2	33.4205622131	0	0.0
expt03_F41H1	33.8208982721	0	0.0
expt11_G1B7	32.9395091719	0	0.0
expt11_G1B1	32.9481447391	0	0.0
expt11_G1H1	32.862583211	0	0.0
expt04_F40C2	33.7052453032	0	0.0
expt11_G1G8	32.9055607662	0	0.0
expt11_G1G4	32.9095047943	0	0.0
expt11_G1H7	32.8063534659	0	0.0
expt11_G1C11	32.8199494102	0	0.0
expt10_B6	33.9286958716	0	0.0
expt07_A1	33.6186365451	0	0.0
expt10_E5	33.8767911509	0	0.0
expt02_F37B4	34.3991671267	0	0.0
expt01_F38E8	34.3073773286	0	0.0
expt09_F3-2	33.3967589868	0	0.0
expt01_F38E5	34.3375807169	0	0.0
expt11_G1G5	32.9115179334	0	0.0
expt01_F38A1	34.4122254611	0	0.0
expt03_F41B2	33.7347009343	0	0.0
expt06_F43D1	33.146916494	0	0.0
expt06_F43C1	33.4080127463	0	0.0
expt04_F40B2	25.638919076	0	0.0
expt01_F38A3	34.3806440965	0	0.0
expt08_D2-1	33.4954440093	0	0.0
expt08_E5-1	33.5687835557	0	0.0
expt01_F38F2	34.3129527851	0	0.0
expt10_E6	33.9166858258	0	0.0
expt02_F37C1	34.4382013252	0	0.0
expt11_G1D3	32.9062669609	0	0.0
expt04_F40A3	33.6911685778	0	0.0
expt11_G1F10	32.9825402213	0	0.0
expt10_G1	33.9407772125	0	0.0
expt11_G1B6	32.9159437853	0	0.0
expt08_D3-1	33.4834213872	0	0.0
expt07_F3	33.8414749939	0	0.0
expt04_F40C4	33.7465510342	0	0.0
expt03_F41C4	33.8532949397	0	0.0
expt07_E1	33.624239937	0	0.0
expt08_E2-1	33.4911137627	0	0.0
expt10_B5	33.8975864653	0	0.0
expt03_F41H3	33.8083989513	0	0.0
expt10_E4	33.9113306879	0	0.0
expt05_F42B3	33.361049016	0	0.0
expt05_F42F1	33.3274395175	0	0.0
