Sample	Reads_sequenced	Reads_mapped	Unique_reads_mapped	Percent_mapped_reads
expt10_A4	12826031	20261	13637	.15
expt04_F40B4	4323181	2378315	1115823	55.01
expt01_F38F8	1937939	631002	424066	32.56
expt02_F37B6	3524498	1317136	737689	37.37
expt04_F40F4	4422195	2530067	1148791	57.21
expt08_G5-1	4392510	1563068	842676	35.58
expt01_F38C9	3143001	11399	8934	.36
expt10_B3	6243972	6922	4925	.11
expt11_G1A8	5230292	10105	2124	.19
expt04_F40G5	4673425	1590013	519386	34.02
expt07_B4	8976912	67550	18234	.75
expt01_F38C1	2791036	1684144	1207808	60.34
expt04_F40C2	4374485	1867336	780848	42.68
expt06_F43A3	7193776	11841	11102	.16
expt07_B2	8698343	151881	48039	1.74
expt01_F38A9	1613974	109451	81342	6.78
expt05_F42A4	6743646	222629	198806	3.30
expt10_G3	3351879	4862	4077	.14
expt03_F41C3	6731874	2872781	1067179	42.67
expt10_F3	6053475	6565	4710	.10
expt11_G1G10	5468850	3442316	2372450	62.94
expt11_G1E11	5242422	3140730	1596884	59.90
expt07_C4	8612772	129	121	0
expt10_E6	4545253	713775	548644	15.70
expt03_F41D3	4474251	59482	22106	1.32
expt10_A3	4828289	4328	3259	.08
expt11_G1A6	4433011	4548	1592	.10
expt03_F41G1	4650575	1914590	1129234	41.16
expt10_F4	5802535	13806	10671	.23
expt06_F43C2	5768519	2955292	1923053	51.23
expt08_C4-1	5128145	1863591	979274	36.34
expt03_F41C2	5815048	3897175	2627872	67.01
expt11_G1G4	4569778	605916	211959	13.25
expt04_F40G6	3647343	1508449	601561	41.35
expt10_B1	5701892	620733	462979	10.88
expt09_B2-2	4811994	2314513	1852292	48.09
expt11_G1B12	5610256	3500	1239	.06
expt07_D3	7201770	3649500	1787563	50.67
expt08_E4-1	1529505	664965	528386	43.47
expt06_F43B2	6591533	3453923	2230298	52.39
expt01_F38E3	2974343	1880696	1307721	63.23
expt10_F6	4989327	929324	684106	18.62
expt11_G1D6	4988635	1885037	791230	37.78
expt04_F40A1	5107337	1138063	339646	22.28
expt10_H4	5889915	10543	8184	.17
expt05_F42A3	6875595	1876023	1484307	27.28
expt11_G1E2	4876035	3089404	1859741	63.35
expt11_G1A11	5698321	3811898	2726875	66.89
expt02_F37E5	3446806	2377935	1629225	68.98
expt06_F43E3	5196933	1129318	641078	21.73
expt11_G1E5	4653393	2190057	1076119	47.06
expt11_G1F2	5694043	886940	732987	15.57
expt11_G1A2	5675064	236282	53705	4.16
expt10_A5	5633957	1527463	1207953	27.11
expt06_F43D3	1837343	123482	60642	6.72
expt09_B1-2	4834217	2524840	1507022	52.22
expt06_F43F1	5390552	3153090	2159622	58.49
expt02_F37G5	3193773	1786854	1049719	55.94
expt11_G1A1	2256568	459	358	.02
expt11_G1A5	5256805	5664	2032	.10
expt10_H2	5965221	6559	4597	.10
expt01_F38A4	1496116	3511	3310	.23
expt10_A2	13301916	1750658	1024164	13.16
expt03_F41C1	4978689	945283	326587	18.98
expt02_F37F5	891414	58181	56956	6.52
expt10_D3	9930288	13572	8246	.13
expt11_G1H3	4917213	2796723	1621476	56.87
expt04_F40E6	4551997	1281619	383592	28.15
expt01_F38E4	2047290	943442	668029	46.08
expt11_G1B5	4631437	2390413	1169948	51.61
expt11_G1F8	4523354	5165	1596	.11
expt01_F38B1	2686018	1850613	1556730	68.89
expt07_F2	9122233	235609	72807	2.58
expt01_F38D4	1548590	480772	335861	31.04
expt09_G1-2	4401304	2379154	1597090	54.05
expt03_F41H1	5601755	289518	250872	5.16
expt04_F40C3	3292072	306155	105318	9.29
expt11_G1G8	5176355	6874	1998	.13
expt11_G1H6	4190320	1826	1356	.04
expt07_H1	8490653	1691528	442949	19.92
expt11_G1G11	5452224	3640272	2251688	66.76
expt04_F40C1	5068984	2457317	976848	48.47
expt09_F1-2	4920735	2486803	1590362	50.53
expt06_F43D1	5884438	3283435	2318902	55.79
expt03_F41A2	6140389	1014619	786478	16.52
expt11_G1H9	5298544	1191752	308509	22.49
expt08_A4-1	5118803	8212	3271	.16
expt11_G1A7	5453540	8100	4101	.14
expt09_A4-2	4500752	1301686	645359	28.92
expt07_F3	8892023	5469163	3314482	61.50
expt04_F40B5	4297781	2114623	906741	49.20
expt01_F38G5	2394154	836	496	.03
expt10_D4	10731355	11847	8075	.11
expt06_F43B1	6290537	683573	493830	10.86
expt11_G1E6	5386588	2527309	1044690	46.91
expt11_G1F5	6433228	3123550	1324151	48.55
expt11_G1F6	5040595	2209091	794433	43.82
expt11_G1H8	4494656	2979704	1980070	66.29
expt08_A6-1	5348939	3254924	1522592	60.85
expt03_F41F1	4964208	3110076	2129830	62.64
expt10_C1	6441786	915483	657876	14.21
expt10_E4	5375896	9022	7128	.16
expt08_E5-1	5199375	3016124	2000952	58.00
expt08_A5-1	4873283	1197584	434098	24.57
expt02_F37E4	6886142	3795535	1527090	55.11
expt06_F43F3	5113211	1518110	888447	29.68
expt05_F42C3	5939926	3084377	2140474	51.92
expt01_F38H7	3144750	188841	105615	6.00
expt11_G1F3	5585257	2810908	1309006	50.32
expt04_F40E3	4543870	2575916	1460975	56.68
expt11_G1D8	5119482	4131	1463	.08
expt05_F42C4	5194091	3010114	2289504	57.95
expt02_F37B3	1478710	1014196	842996	68.58
expt11_G1F4	5700210	2332063	870385	40.91
expt01_F38D5	2588386	614674	374066	23.74
expt02_F37B5	697440	68149	63391	9.77
expt08_C2-1	4675577	669117	343518	14.31
expt09_D1-2	4895264	2731438	1710212	55.79
expt04_F40A3	4916977	2548833	1087592	51.83
expt05_F42G1	2940525	182343	162034	6.20
expt01_F38F7	2675208	4408	2897	.16
expt10_F5	6265732	1311049	987844	20.92
expt11_G1H2	3503996	2441	1172	.06
expt07_H2	10133955	468812	128733	4.62
expt11_G1E8	4580080	2634118	1364109	57.51
expt02_F37C1	2230153	835048	288864	37.44
expt04_F40G3	4980651	2514570	1129268	50.48
expt01_F38C8	2590929	26542	17636	1.02
expt03_F41B1	5059224	1413367	1005894	27.93
expt04_F40F1	3964238	1826112	699890	46.06
expt04_F40C4	4140589	1985024	835471	47.94
expt11_G1F10	5785984	770322	184259	13.31
expt01_F38G1	1911927	1146821	916315	59.98
expt11_G1C8	4457885	4384	1871	.09
expt05_F42E1	5612877	2743326	1705988	48.87
